q1,,,,,,q2,,,,,q3,,,,,,,,q4,,,q5,,,,,q6,,,,
How familiar are you with cloud native technologies? (select one),,,,,,Please indicate what best describes who you are. (select one),,,,,What is your current employment status? (select one),,,,,,,,Are you working alongside your studies? (select one),,,How many years of professional experience in IT (Information Technology) do you have? (select one),,,,,How many years of professional experience do you have working in cloud-based environments? (select one),,,,
Don't know or not sure,Not at all familiar,Not very familiar,Somewhat familiar,Very familiar,Extremely familiar,Don't know or not sure,I'm just lines of code,I am a real person,I am a bot,I just want to mess with the researchers,Don't know or not sure,"Student, full time or part time","Employed, full time","Employed, part time","Self-employed, full or part time","Unemployed, and looking for work","Unemployed, and not currently looking for work",Retired,Don't know or not sure,Yes,No,No experience,Less than 2 years,2-5 years,6-10 years,More than 10 years,No experience,Less than 2 years,2-5 years,6-10 years,More than 10 years
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,4,,,2,,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,3,,,,,3,,
,,,,4,,,,2,,,,,,,4,,,,,,,,,,,5,,,3,,
,,,,,5,,,2,,,,,,,4,,,,,,,,,,,5,,,,,5
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,3,,,,,2,,,,,,,,5,,,,,,,,,,5,,,3,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,3,,,,,2,,,,,2,,,,,,,,,,,3,,,,,3,,
,,,3,,,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,3,,,,,3,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
,,,3,,,,,2,,,,,2,,,,,,,,,,2,,,,,2,,,
,,2,,,,,,2,,,,,2,,,,,,,,,,2,,,,,,3,,
,,,3,,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,2,,,,,,2,,,,1,,,,,,,,1,,,,,4,,1,,,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,3,,,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
,,,,,5,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,3,,,,,2,,,,,2,,,,,,,,,,,,4,,,,3,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
,,2,,,,,,2,,,,,2,,,,,,,,,,,3,,,,2,,,
,,,,,5,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,,4,,,,2,,,,,2,,,,,,,,,,,3,,,,2,,,
,,,,,5,,,2,,,,,2,,,,,,,,,,,,4,,,,3,,
,,,,,5,,,2,,,,,2,,,,,,,,,,,,,5,,,,,5
,,,,,5,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
,,,3,,,,,2,,,,,2,,,,,,,,,,,,4,,,2,,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,,4,,,,2,,,,,2,,,,,,,,,,,3,,,,,3,,
,,,,4,,,,2,,,,,2,,,,,,,,,,,,,5,,,,4,
,,,,,5,,,2,,,,,2,,,,,,,,,,,,,5,,,3,,
